Scientific name;Taxon status;Type category;Barcode;Collector;Collector Number;Date;Determined by;Locality Note;Latitude;Longitude;Precision;Habitat;Country;Country ISO code;Major Admin Name;Minor Admin Name;Locality;Taxon rank;Kingdom;Phylum;Class;Order;Family;Genus;Species;Collection;Institute code;Institute;Collection year
Ornithopus perpusillus L.;;;UGDA.0019663;Herbich Maria;s.n.;1970-07-14;Herbich Maria;Pobrzeże Kaszubskie, powiat Lębork, Strzebielino;54.5686;18.0417;2,5km;piaszczysty ugór;Poland;pl;Pomeranian Voivodeship;gmina Łęczyce;Wejherowo County;species;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Ornithopus;perpusillus;UGDA-Plants;UGDA;Uniwersytet Gdański;1970
Artemisia vulgaris L.;;;UGDA.0003112;Kamińska R.;s.n.;1977-09-08;Kamińska R.;Pobrzeże Gdańskie, Mała Słońca;54.004;18.8282;1km;plac przy zabudowaniach;Poland;pl;Pomeranian Voivodeship;gmina Subkowy;Tczew County;species;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Artemisia;vulgaris;UGDA-Plants;UGDA;Uniwersytet Gdański;1977
Ornithopus sativus Brot.;;;UGDA.0019659;Rydzewska-Szymczyk Maria;s.n.;1971-08-19;Rydzewska-Szymczyk Maria;Pojezierze Kaszubskie, Nadleśnictwo Oliwa, Leśnictwo Gołębiewo, oddz. 12;54.4609;18.5049;2,5km;skraj lasu bukowego;Poland;pl;Pomeranian Voivodeship;Wielki Kack;Gdynia;species;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Ornithopus;sativus;UGDA-Plants;UGDA;Uniwersytet Gdański;1971
Hamamelis mollis Oliv.;;;UGDA.0001119;Butowski Zbigniew;s.n.;2016-02-24;Butowski Zbigniew;Polska, województwo pomorskie, Pojezierze Kaszubskie, powiat kartuski, Gołubie, Gołubieński Ogród Botaniczny, Kaszubski Park Krajobrazowy, ATPOL: CB-43;54.2175;18.0506;gps;ogród;Poland;pl;Pomeranian Voivodeship;gmina Stężyca;Kartuzy County;species;Plantae;Tracheophyta;Magnoliopsida;Saxifragales;Hamamelidaceae;Hamamelis;mollis;UGDA-Plants;UGDA;Uniwersytet Gdański;2016
Hamamelis mollis Oliv.;;;UGDA.0001118;Butowski Zbigniew;s.n.;2016-02-24;Butowski Zbigniew;Polska, województwo pomorskie, Pojezierze Kaszubskie, powiat kartuski, Gołubie, Gołubieński Ogród Botaniczny, Kaszubski Park Krajobrazowy, ATPOL: CB-43;54.2175;18.0506;gps;ogród;Poland;pl;Pomeranian Voivodeship;gmina Stężyca;Kartuzy County;species;Plantae;Tracheophyta;Magnoliopsida;Saxifragales;Hamamelidaceae;Hamamelis;mollis;UGDA-Plants;UGDA;Uniwersytet Gdański;2016
Polygonatum verticillatum (L.) All.;;;UGDA.0042641;Lazarus Madgalena;s.n.;1998-07-09;Lazarus Madgalena;Polska, województwo pomorskie, powiat człuchowski, gmina Debrzno, Rozwory, oddział 307;53.5399;17.1531;1km;;Poland;pl;Pomeranian Voivodeship;gmina Debrzno;Człuchów County;species;Plantae;Tracheophyta;Liliopsida;Asparagales;Asparagaceae;Polygonatum;verticillatum;UGDA-Plants;UGDA;Uniwersytet Gdański;1998
Lamium album L.;;;UGDA.0020685;Jańczak Maria;s.n.;1971-06-08;Jańczak Maria;Polska, Pobrzeże Kaszubskie, Dolina Redy, Mrzezino, osada Beki;54.6545;18.4575;2,5km;wśród gruzów;Poland;pl;Pomeranian Voivodeship;gmina Puck;Puck County;species;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Lamium;album;UGDA-Plants;UGDA;Uniwersytet Gdański;1971
Hieracium umbellatum L.;;;UGDA.0002362;Piotrowska Hanna;s.n.;1971-08-05;Piotrowska Hanna;Polska, Babi Dół, lewa strona Raduni;54.2993;18.3115;10km;skraj lasu;Poland;pl;Pomeranian Voivodeship;gmina Żukowo;Kartuzy County;species;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Hieracium;umbellatum;UGDA-Plants;UGDA;Uniwersytet Gdański;1971
Melandrium album (Mill.) Garcke;;;UGDA.0019229;Linkiel Katarzyna;s.n.;2002-06-28;Linkiel Katarzyna;Polska, Gdańsk Zaspa;54.3911;18.5915;2,5km;łąka;Poland;pl;Pomeranian Voivodeship;Zaspa-Młyniec;Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Melandrium;album;UGDA-Plants;UGDA;Uniwersytet Gdański;2002
Aesculus hippocastanum L.;;;UGDA.0000507;Wszałek-Rożek Katarzyna;s.n.;2019-10-26;Wszałek-Rożek Katarzyna;Polska, woj. pomorskie, Pobrzeże Kaszubskie, powiat Gdańsk, Gdańsk-Oliwa, ul. Kościerska, okolice ZOO;54.4086;18.5368;gps;przydroże;Poland;pl;Pomeranian Voivodeship;;;species;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Sapindaceae;Aesculus;hippocastanum;UGDA-Plants;UGDA;Uniwersytet Gdański;2019
