Scientific name;Taxon status;Type category;Barcode;Collector;Collector Number;Date;Determined by;Locality Note;Latitude;Longitude;Precision;Habitat;Country;Country ISO code;Major Admin Name;Minor Admin Name;Locality;Taxon rank;Kingdom;Phylum;Class;Order;Family;Genus;Species;Collection;Institute code;Institute;Collection year
Dactylorhiza cordigera (Fr.) Soó;;;UGDA.0008953;Piotrowska H.;s.n.;1970-06-05;Jagiełło M.;Pojezierze Kaszubskie, Babi Dół, prawa strona Raduni;54.3026;18.299;2,5km;podmokła łąka;Poland;;Pomeranian Voivodeship;gmina Żukowo;Kartuzy County  Babi Dół;species;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Dactylorhiza;cordigera;UGDA_ORCHID;UGDA;Uniwersytet Gdański;1970
Dactylorhiza praetermissa (Druce) Soó;;;UGDA.0008906;Piotrowska H.;s.n.;1962-06-15;;Polska, Pomorze Zachodnie, Wyspa Wolin, Wicko;54.6717;17.6174;2,5km;podmokłe łąki;Poland;;Pomeranian Voivodeship;gmina Wicko;Lębork County;species;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Dactylorhiza;praetermissa;UGDA_ORCHID;UGDA;Uniwersytet Gdański;1962
Dactylorhiza praetermissa (Druce) Soó;;;UGDA.0008908;Szlachetko D.L.;s.n.;1984-06-20;;"N Poland; Orle by Gdańsk";54.6433;18.1515;1km;nakredowa młaka;Poland;;Pomeranian Voivodeship;gmina Wejherowo;Wejherowo County;species;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Dactylorhiza;praetermissa;UGDA_ORCHID;UGDA;Uniwersytet Gdański;1984
Dactylorhiza praetermissa (Druce) Soó;;;UGDA.0008916;Piotrowska H.;s.n.;1962-06-20;Szlachetko D.L.;Polska, Pomorze Zachodnie, Wyspa Wolin, Rekowo;53.9749;14.6625;1km;torfiaste łąki;Poland;;West Pomeranian Voivodeship;gmina Wolin;Kamień County;species;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Dactylorhiza;praetermissa;UGDA_ORCHID;UGDA;Uniwersytet Gdański;1962
Dactylorhiza cruenta (O.F.Müll.) Soó;;;UGDA.0008909;Piotrowska H.;s.n.;1863-05-27;;Pomorze Zachodnie, Wyspa Uznam, Wydrzany;53.8801;14.2197;10km;łąka koło wsi;Poland;;West Pomeranian Voivodeship;Wydrzany;Świnoujście;species;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Dactylorhiza;cruenta;UGDA_ORCHID;UGDA;Uniwersytet Gdański;1863
Orchis latifolia L.;;;UGDA.0008686;Piotrowska H.;s.n.;1963-05-28;;Polska, Pomorze Zachodnie, Wyspa Wolin, Warnowo;53.9272;14.5416;2,5km;łąka koło wsi;Poland;;West Pomeranian Voivodeship;gmina Wolin;Kamień County;species;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Orchis;latifolia;UGDA_ORCHID;UGDA;Uniwersytet Gdański;1963
Lecanora conizaeoides Nyl.ex Cromb.;;;SZUB_L.0001943;Katarzyna Buszman;Katarzyna Buszman;2005;Mateusz Bocian;Kościerzyna, trawnik między blokami na ul. Brzozowej i Dębowej;54.1203;17.9663;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;conizaeoides;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Lecanora conizaeoides Nyl.ex Cromb.;;;SZUB_L.0001944;Katarzyna Buszman;Katarzyna Buszman;2005;Mateusz Bocian;Kościerzyna, trawnik między blokami na ul. Brzozowej i Dębowej;54.1203;17.9663;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;conizaeoides;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Lecanora conizaeoides Nyl.ex Cromb.;;;SZUB_L.0001945;Katarzyna Buszman;Katarzyna Buszman;2005;Mateusz Bocian;Kościerzyna, trawnik między blokami na ul. Brzozowej i Dębowej;54.1203;17.9663;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;conizaeoides;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Lecanora conizaeoides Nyl.ex Cromb.;;;SZUB_L.0001946;Katarzyna Buszman;Katarzyna Buszman;2005;Mateusz Bocian;Kościerzyna, trawnik między blokami na ul. Brzozowej i Dębowej;54.1203;17.9663;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;conizaeoides;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Lecanora conizaeoides Nyl.ex Cromb.;;;SZUB_L.0001947;Katarzyna Buszman;Katarzyna Buszman;2005;Mateusz Bocian;Kościerzyna, trawnik między blokami na ul. Brzozowej i Dębowej;54.1203;17.9663;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;conizaeoides;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Lecanora conizaeoides Nyl.ex Cromb.;;;SZUB_L.0001948;Katarzyna Buszman;Katarzyna Buszman;2005;Mateusz Bocian;Kościerzyna, trawnik między blokami na ul. Brzozowej i Dębowej;54.1203;17.9663;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;conizaeoides;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Lecanora conizaeoides Nyl.ex Cromb.;;;SZUB_L.0001949;Katarzyna Buszman;Katarzyna Buszman;2005;Mateusz Bocian;Kościerzyna, trawnik między blokami na ul. Brzozowej i Dębowej;54.1203;17.9663;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;conizaeoides;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Lecanora conizaeoides Nyl.ex Cromb.;;;SZUB_L.0001950;Katarzyna Buszman;Katarzyna Buszman;2005;Mateusz Bocian;Kościerzyna, trawnik między blokami na ul. Brzozowej i Dębowej;54.1203;17.9663;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;conizaeoides;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Lecanora conizaeoides Nyl.ex Cromb.;;;SZUB_L.0001951;Katarzyna Buszman;Katarzyna Buszman;2005;Mateusz Bocian;Kościerzyna, trawnik między blokami na ul. Brzozowej i Dębowej;54.1203;17.9663;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;conizaeoides;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Lecanora conizaeoides Nyl.ex Cromb.;;;SZUB_L.0001952;Katarzyna Buszman;Katarzyna Buszman;2005;Mateusz Bocian;Kościerzyna, trawnik między blokami na ul. Brzozowej i Dębowej;54.1203;17.9663;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;conizaeoides;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Lecanora conizaeoides Nyl.ex Cromb.;;;SZUB_L.0001953;Katarzyna Buszman;Katarzyna Buszman;2005;Mateusz Bocian;Kościerzyna, trawnik między blokami na ul. Brzozowej i Dębowej;54.1203;17.9663;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;conizaeoides;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Lecanora conizaeoides Nyl.ex Cromb.;;;SZUB_L.0001954;Katarzyna Buszman;Katarzyna Buszman;2005;Mateusz Bocian;Kościerzyna, trawnik między blokami na ul. Brzozowej i Dębowej;54.1203;17.9663;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;conizaeoides;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Lecanora conizaeoides Nyl.ex Cromb.;;;SZUB_L.0001955;Katarzyna Buszman;Katarzyna Buszman;2005;Mateusz Bocian;Kościerzyna, trawnik między blokami na ul. Brzozowej i Dębowej;54.1203;17.9663;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;conizaeoides;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Parmelia sulcata Taylor;;;SZUB_L.0001523;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna, Teren Szkoły Podstawowej nr.1;54.1194;17.9745;2,5km;na korze Sorbus aucuparia;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Parmelia;sulcata;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Platismatia glauca (L.) W.L.Culb. & C.F.Culb.;;;SZUB_L.0001896;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna ul. Rogali przy torach kolejowych;54.1345;17.9678;2,5km;na korze Quercus robur;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Platismatia;glauca;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Lecanora conizaeoides Nyl.ex Cromb.;;;SZUB_L.0002034;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna, ul. Konopnickiej, trawnik przy ulicy między blokami;54.1222;17.9652;2,5km;na korze Tilia sp.;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;conizaeoides;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Candelariella xanthostigma (Pers.ex Ach.) Lettau;;;SZUB_L.0001825;Katarzyna Buszman;Katarzyna Buszman;2006;Katarzyna Buszman;"Kościerzyna, ul. M.C. Skłodowskiej, skwer między blokami przy rondzie ""Solidarność""";54.1224;17.9688;2,5km;na korze Salix alba;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Candelariomycetes;Candelariales;Candelariaceae;Candelariella;xanthostigma;SZUB-L;SZUB;Uniwersytet Szczeciński;2006
Candelariella xanthostigma (Pers.ex Ach.) Lettau;;;SZUB_L.0001826;Katarzyna Buszman;Katarzyna Buszman;2006;Katarzyna Buszman;"Kościerzyna, ul. M.C. Skłodowskiej, skwer między blokami przy rondzie ""Solidarność""";54.1224;17.9688;2,5km;na korze Salix alba;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Candelariomycetes;Candelariales;Candelariaceae;Candelariella;xanthostigma;SZUB-L;SZUB;Uniwersytet Szczeciński;2006
Candelariella xanthostigma (Pers.ex Ach.) Lettau;;;SZUB_L.0001835;Katarzyna Buszman;Katarzyna Buszman;2006;Katarzyna Buszman;"Kościerzyna, ul. M.C. Skłodowskiej, skwer między blokami przy rondzie ""Solidarność""";54.1224;17.9688;2,5km;na korze Salix alba;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Candelariomycetes;Candelariales;Candelariaceae;Candelariella;xanthostigma;SZUB-L;SZUB;Uniwersytet Szczeciński;2006
Candelariella xanthostigma (Pers.ex Ach.) Lettau;;;SZUB_L.0002871;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna, ul. 8 marca;54.12;17.9742;2,5km;na korze Tilia sp.;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Candelariomycetes;Candelariales;Candelariaceae;Candelariella;xanthostigma;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Candelariella xanthostigma (Pers.ex Ach.) Lettau;;;SZUB_L.0002879;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna, ul. 8 marca;54.12;17.9742;2,5km;na korze Tilia sp.;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Candelariomycetes;Candelariales;Candelariaceae;Candelariella;xanthostigma;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Candelariella xanthostigma (Pers.ex Ach.) Lettau;;;SZUB_L.0002880;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna, ul. 8 marca;54.12;17.9742;2,5km;na korze Tilia sp.;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Candelariomycetes;Candelariales;Candelariaceae;Candelariella;xanthostigma;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Candelariella xanthostigma (Pers.ex Ach.) Lettau;;;SZUB_L.0002882;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna, ul. 8 marca;54.12;17.9742;2,5km;na korze Tilia sp.;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Candelariomycetes;Candelariales;Candelariaceae;Candelariella;xanthostigma;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Candelariella xanthostigma (Pers.ex Ach.) Lettau;;;SZUB_L.0002884;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna, ul. 8 marca;54.12;17.9742;2,5km;na korze Tilia sp.;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Candelariomycetes;Candelariales;Candelariaceae;Candelariella;xanthostigma;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Candelariella xanthostigma (Pers.ex Ach.) Lettau;;;SZUB_L.0002885;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna, ul. 8 marca;54.12;17.9742;2,5km;na korze Tilia sp.;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Candelariomycetes;Candelariales;Candelariaceae;Candelariella;xanthostigma;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Candelariella xanthostigma (Pers.ex Ach.) Lettau;;;SZUB_L.0002886;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna, ul. 8 marca;54.12;17.9742;2,5km;na korze Tilia sp.;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Candelariomycetes;Candelariales;Candelariaceae;Candelariella;xanthostigma;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Candelariella xanthostigma (Pers.ex Ach.) Lettau;;;SZUB_L.0002896;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna, ul. 8 marca;54.12;17.9742;2,5km;na korze Tilia sp.;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Candelariomycetes;Candelariales;Candelariaceae;Candelariella;xanthostigma;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Candelariella xanthostigma (Pers.ex Ach.) Lettau;;;SZUB_L.0002369;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna, ul. Strzelecka od skrzyżowania z ul. Słowackiego do skrzyżowania z ul. Rogali;54.1269;17.9688;2,5km;na korze Acer platanoides;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Candelariomycetes;Candelariales;Candelariaceae;Candelariella;xanthostigma;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Candelariella xanthostigma (Pers.ex Ach.) Lettau;;;SZUB_L.0002386;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna, ul. Strzelecka od skrzyżowania z ul. Słowackiego do skrzyżowania z ul. Rogali;54.1269;17.9688;2,5km;na korze Acer platanoides;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Candelariomycetes;Candelariales;Candelariaceae;Candelariella;xanthostigma;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Candelariella xanthostigma (Pers.ex Ach.) Lettau;;;SZUB_L.0002388;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna, ul. Strzelecka od skrzyżowania z ul. Słowackiego do skrzyżowania z ul. Rogali;54.1269;17.9688;2,5km;na korze Acer platanoides;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Candelariomycetes;Candelariales;Candelariaceae;Candelariella;xanthostigma;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Physcia tenella (Scop.) DC.;;;SZUB_L.0001886;Katarzyna Buszman;Katarzyna Buszman;2006;Katarzyna Buszman;Kościerzyna, ul. M.C. Skłodowskiej na przeciw szkoły;54.1217;17.9669;2,5km;na korze Aesculus hippocastanum;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Caliciales;Physciaceae;Physcia;tenella;SZUB-L;SZUB;Uniwersytet Szczeciński;2006
Hypogymnia physodes (L.) Nyl.;;;SZUB_L.0001551;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna, ul. Topolowa;54.1197;17.9677;2,5km;na korze Pinus sylvestris;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Hypogymnia;physodes;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Hypogymnia physodes (L.) Nyl.;;;SZUB_L.0001552;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna, ul. Topolowa;54.1197;17.9677;2,5km;na korze Pinus sylvestris;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Hypogymnia;physodes;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Hypogymnia physodes (L.) Nyl.;;;SZUB_L.0001553;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna, ul. Topolowa;54.1197;17.9677;2,5km;na korze Pinus sylvestris;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Hypogymnia;physodes;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Hypogymnia physodes (L.) Nyl.;;;SZUB_L.0002036;Katarzyna Buszman;Katarzyna Buszman;2006;Katarzyna Buszman;Kościerzyna, ul. 1000-lecia, między blokami;54.1279;17.9785;2,5km;na korze Betula pendula;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Hypogymnia;physodes;SZUB-L;SZUB;Uniwersytet Szczeciński;2006
Hypogymnia physodes (L.) Nyl.;;;SZUB_L.0002037;Katarzyna Buszman;Katarzyna Buszman;2006;Katarzyna Buszman;Kościerzyna, ul. 1000-lecia, między blokami;54.1279;17.9785;2,5km;na korze Betula pendula;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Hypogymnia;physodes;SZUB-L;SZUB;Uniwersytet Szczeciński;2006
Pseudoschismatomma rufescens (Pers.) Ertz & Tehler;;;SZUB_L.0000968;Anetta Wieczorek;Anetta Wieczorek;2001;Anetta Wieczorek;Pomorze Zachodnie, Bory Tucholskie;53.9949;17.6584;2,5km;na korze Fagus sylvatica;Poland;pl;Pomeranian Voivodeship;gmina Brusy;Chojnice County;species;Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Roccellaceae;Pseudoschismatomma;rufescens;SZUB-L;SZUB;Uniwersytet Szczeciński;2001
Pseudoschismatomma rufescens (Pers.) Ertz & Tehler;;;SZUB_L.0000969;Anetta Wieczorek;Anetta Wieczorek;2001;Anetta Wieczorek;Pomorze Zachodnie, Bory Tucholskie;53.9949;17.6584;2,5km;na korze Fagus sylvatica;Poland;pl;Pomeranian Voivodeship;gmina Brusy;Chojnice County;species;Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Roccellaceae;Pseudoschismatomma;rufescens;SZUB-L;SZUB;Uniwersytet Szczeciński;2001
Pseudoschismatomma rufescens (Pers.) Ertz & Tehler;;;SZUB_L.0000970;Anetta Wieczorek;Anetta Wieczorek;2001;Anetta Wieczorek;Pomorze Zachodnie, Bory Tucholskie;53.9949;17.6584;2,5km;na korze Fagus sylvatica;Poland;pl;Pomeranian Voivodeship;gmina Brusy;Chojnice County;species;Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Roccellaceae;Pseudoschismatomma;rufescens;SZUB-L;SZUB;Uniwersytet Szczeciński;2001
Alyxoria varia (Pers.) Ertz & Tehler;;;SZUB_L.0000115;Wiesław Fałtynowicz;Wiesław Fałtynowicz;2002;Wiesław Fałtynowicz;Rezerwat Staniszewskie Błoto;54.3654;18.0272;2,5km;na korze Acer platanoides;Poland;pl;Pomeranian Voivodeship;gmina Chmielno;Kartuzy County;species;Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Lecanographaceae;Alyxoria;varia;SZUB-L;SZUB;Uniwersytet Szczeciński;2002
Hypogymnia physodes (L.) Nyl.;;;SZUB_L.0002306;Katarzyna Buszman;Katarzyna Buszman;2006;Katarzyna Buszman;Kościerzyna, ul. Kartuska, trawnik przed zespołem szkół zawodowych;54.1254;17.9771;2,5km;na korze Crataegus sp.;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Hypogymnia;physodes;SZUB-L;SZUB;Uniwersytet Szczeciński;2006
Hypogymnia physodes (L.) Nyl.;;;SZUB_L.0002316;Katarzyna Buszman;Katarzyna Buszman;2006;Katarzyna Buszman;Kościerzyna, ul. Kartuska, trawnik przed zespołem szkół zawodowych;54.1254;17.9771;2,5km;na korze Crataegus sp.;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Hypogymnia;physodes;SZUB-L;SZUB;Uniwersytet Szczeciński;2006
Lecanora umbrina (Ach.) A.Massal.;;;SZUB_L.0001623;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna, ul. brzozowa;54.1202;17.9677;2,5km;na korze Betula pendula;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;umbrina;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Lecanora chlarotera Nyl.;;;SZUB_L.0001760;Katarzyna Buszman;Katarzyna Buszman;2006;Katarzyna Buszman;Kościerzyna, ul. Kościerska, pobocze drogi wylotowej z miasta, pośród pól;54.151;17.9753;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;gmina Kościerzyna;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;chlarotera;SZUB-L;SZUB;Uniwersytet Szczeciński;2006
Lecanora chlarotera Nyl.;;;SZUB_L.0001764;Katarzyna Buszman;Katarzyna Buszman;2006;Katarzyna Buszman;Kościerzyna, ul. Kościerska, pobocze drogi wylotowej z miasta, pośród pól;54.151;17.9753;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;gmina Kościerzyna;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;chlarotera;SZUB-L;SZUB;Uniwersytet Szczeciński;2006
Lecanora chlarotera Nyl.;;;SZUB_L.0001765;Katarzyna Buszman;Katarzyna Buszman;2006;Katarzyna Buszman;Kościerzyna, ul. Kościerska, pobocze drogi wylotowej z miasta, pośród pól;54.151;17.9753;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;gmina Kościerzyna;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;chlarotera;SZUB-L;SZUB;Uniwersytet Szczeciński;2006
Lecanora chlarotera Nyl.;;;SZUB_L.0001766;Katarzyna Buszman;Katarzyna Buszman;2006;Katarzyna Buszman;Kościerzyna, ul. Kościerska, pobocze drogi wylotowej z miasta, pośród pól;54.151;17.9753;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;gmina Kościerzyna;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;chlarotera;SZUB-L;SZUB;Uniwersytet Szczeciński;2006
Lecanora chlarotera Nyl.;;;SZUB_L.0001767;Katarzyna Buszman;Katarzyna Buszman;2006;Katarzyna Buszman;Kościerzyna, ul. Kościerska, pobocze drogi wylotowej z miasta, pośród pól;54.151;17.9753;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;gmina Kościerzyna;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;chlarotera;SZUB-L;SZUB;Uniwersytet Szczeciński;2006
Lecanora chlarotera Nyl.;;;SZUB_L.0001768;Katarzyna Buszman;Katarzyna Buszman;2006;Katarzyna Buszman;Kościerzyna, ul. Kościerska, pobocze drogi wylotowej z miasta, pośród pól;54.151;17.9753;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;gmina Kościerzyna;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;chlarotera;SZUB-L;SZUB;Uniwersytet Szczeciński;2006
Amandinea punctata (Hoffm.) Coppins & Scheid.;;;SZUB_L.0002870;Katarzyna Buszman;Katarzyna Buszman;2005;Katarzyna Buszman;Kościerzyna, ul. 8 marca;54.12;17.9742;2,5km;na korze Tilia sp.;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Caliciales;Caliciaceae;Amandinea;punctata;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Hypogymnia physodes (L.) Nyl.;;;SZUB_L.0001810;Katarzyna Buszman;Katarzyna Buszman;2006;Katarzyna Buszman;Kościerzyna, ul. Kartuska;54.1265;17.9787;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Hypogymnia;physodes;SZUB-L;SZUB;Uniwersytet Szczeciński;2006
